MolecularFormula,Mass,C,H,O,N,S,P,El_comp,DBE,HC,OC,NC,AI_mod,NOSC,compound_class,log_CIR
C5H11O2N,116.071697,5,11,2,1,0,0,CHON,1.0,2.2,0.4,0.2,0.0,-0.7999999999999998,lipid_like,0.8898963976296431
C6H4ON2,119.025062,6,4,1,2,0,0,CHON,6.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,1.2857142857142858,0.6666666666666665,condensed_aromatic,0.6902608953675295
C4H2OS2,128.947445,4,2,1,0,2,0,CHOS,4.0,0.5,0.25,0.0,1.0,1.0,condensed_aromatic,0.7745333333333334
C7H6O3,137.024403,7,6,3,0,0,0,CHO,5.0,0.8571428571428571,0.42857142857142855,0.0,0.6363636363636364,0.0,aromatic,0.9758548030218948
C8H10O2,137.060815,8,10,2,0,0,0,CHO,4.0,1.25,0.25,0.0,0.42857142857142855,-0.75,CRAM,1.176305180118518
C9H14O,137.097219,9,14,1,0,0,0,CHO,3.0,1.5555555555555556,0.1111111111111111,0.0,0.29411764705882354,-1.333333333333333,lipid_like,1.0950224067505567
C8H14O,138.100593,8,14,1,0,0,0,CHO,2.0,1.75,0.125,0.0,0.2,-1.5,lipid_like,0.9820414409481428
C6H10O4,145.050643,6,10,4,0,0,0,CHO,2.0,1.6666666666666667,0.6666666666666666,0.0,0.0,-0.33333333333333304,carbohydrate_like,0.9802224067505567
C8H4OS,146.990994,8,4,1,0,1,0,CHOS,7.0,0.5,0.125,0.0,0.8461538461538461,0.0,condensed_aromatic,0.6330157999225018
C8H8O3,151.0400845,8,8,3,0,0,0,CHO,5.0,1.0,0.375,0.0,0.5384615384615384,-0.25,aromatic,1.0184537179409152
C6H7O2N3,152.046523,6,7,2,3,0,0,CHON,5.0,1.1666666666666667,0.3333333333333333,0.5,1.25,1.0,condensed_aromatic,0.9230757856838961
C7H6O4,153.019347,7,6,4,0,0,0,CHO,5.0,0.8571428571428571,0.5714285714285714,0.0,0.6,0.2857142857142856,aromatic,1.0077112631111314
C5HO4P,154.953986,5,1,4,0,0,1,CHOP,5.5,0.2,0.8,0.0,1.75,0.3999999999999999,condensed_aromatic,0.6856360373926074
C4H2O3N2S,156.971298,4,2,3,2,1,0,CHONS,5.0,0.5,0.75,0.5,0.0,3.0,N_containing,1.1360291048813826
C7H13O3N,158.0822895,7,13,3,1,0,0,CHON,2.0,1.8571428571428572,0.42857142857142855,0.14285714285714285,0.0,-0.5714285714285712,lipid_like,1.1260804175808206
C7H12O4,159.066309,7,12,4,0,0,0,CHO,2.0,1.7142857142857142,0.5714285714285714,0.0,0.0,-0.5714285714285712,carbohydrate_like,1.0075423438222384
C8H16O3,159.102701,8,16,3,0,0,0,CHO,1.0,2.0,0.375,0.0,0.0,-1.25,lipid_like,0.9694639743511716
C7H5O2N3,162.030936,7,5,2,3,0,0,CHON,7.0,0.7142857142857143,0.2857142857142857,0.42857142857142855,1.5,1.1428571428571428,condensed_aromatic,0.608729056088911
C9H8O3,163.0400775,9,8,3,0,0,0,CHO,6.0,0.8888888888888888,0.3333333333333333,0.0,0.6,-0.22222222222222232,aromatic,0.8719782734869188
C8H6O4,165.019346103448,8,6,4,0,0,0,CHO,6.0,0.75,0.5,0.0,0.6666666666666666,0.25,condensed_aromatic,0.9241244748444485
C9H10O3,165.055751,9,10,3,0,0,0,CHO,5.0,1.1111111111111112,0.3333333333333333,0.0,0.4666666666666667,-0.44444444444444464,CRAM,1.1863116068202522
C10H14O2,165.092144,10,14,2,0,0,0,CHO,4.0,1.4,0.2,0.0,0.3333333333333333,-1.0,CRAM,1.208258510586826
C4H8O3S2,166.984226,4,8,3,0,2,0,CHOS,1.0,2.0,0.75,0.0,0.0,0.5,carbohydrate_like,0.7255652571826832
C8H8O4,167.03495,8,8,4,0,0,0,CHO,5.0,1.0,0.5,0.0,0.5,0.0,aromatic,1.050768919288893
C9H12O3,167.071335,9,12,3,0,0,0,CHO,4.0,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-0.666666666666667,CRAM,1.227311606820252
C7H7O4N,168.030214,7,7,4,1,0,0,CHON,5.0,1.0,0.5714285714285714,0.14285714285714285,0.625,0.5714285714285716,aromatic,1.043385362518542
C8H10O4,169.050639166667,8,10,4,0,0,0,CHO,4.0,1.25,0.5,0.0,0.3333333333333333,-0.25,other,1.3213689192888929
C9H14O3,169.086986,9,14,3,0,0,0,CHO,3.0,1.5555555555555556,0.3333333333333333,0.0,0.2,-0.8888888888888893,lipid_like,1.219111606820252
C7H8O3S,171.012154285714,7,8,3,0,1,0,CHOS,4.0,1.1428571428571428,0.42857142857142855,0.0,0.3333333333333333,0.0,CRAM,1.1888063181734099
C7H9O3P,171.021683,7,9,3,0,0,1,CHOP,3.5,1.2857142857142858,0.42857142857142855,0.0,0.4444444444444444,-1.1428571428571432,CRAM,1.1922229848400763
C8H12O4,171.066303166667,8,12,4,0,0,0,CHO,3.0,1.5,0.5,0.0,0.16666666666666666,-0.5,carbohydrate_like,1.1244
C8H15O3N,172.0979454,8,15,3,1,0,0,CHON,2.0,1.875,0.375,0.125,0.0,-0.75,lipid_like,1.1472714070919157
