sample,n_formulas,mean_CIR,sd_CIR,prop_high_CIR,richness,CIR_CRAM,CIR_N_containing,CIR_aromatic,CIR_carbohydrate_like,CIR_condensed_aromatic,CIR_lipid_like,CIR_other,CIR_protein_like,prop_other,prop_CRAM,prop_lipid_like,prop_aromatic,prop_carbohydrate_like,prop_N_containing,prop_protein_like,prop_condensed_aromatic,site_id,replicate,latitude,longitude,temperature_C,river,state,country,DOC_mgL
S000003.1,1730,1.1408294040847062,0.14779517245891127,0.46069364161849713,1730,1.0022913276352938,1.2171674157834085,0.8800238919098589,1.196378635975964,0.8408953718950742,1.2551624278127123,1.243282116460779,1.0911015612147135,0.3815028901734104,0.3491329479768786,0.0953757225433526,0.05433526011560694,0.04566473988439306,0.03815028901734104,0.02601156069364162,0.009826589595375723,S000003,1,44.207386,-122.258178,10.0,WS1,Oregon,USA,1.288
S000003.2,2212,1.138699871413368,0.1477363605058356,0.4629294755877034,2212,1.0054681823057365,1.218378045567828,0.8696160417528099,1.189899534396295,0.8704288594642866,1.2672133087385666,1.2451981771753438,1.0955430687356402,0.3783905967450271,0.3539783001808318,0.08363471971066908,0.054249547920433995,0.05108499095840868,0.0433996383363472,0.026220614828209764,0.009041591320072333,S000003,2,44.207386,-122.258178,10.0,WS1,Oregon,USA,1.288
S000003.3,1402,1.142455826302144,0.14562579206768206,0.4614835948644793,1402,1.0042733051972503,1.2156970824295734,0.8781569025987527,1.1786367874772967,0.8197904731313105,1.2479858197952334,1.2398769898499862,1.0945104613545698,0.398716119828816,0.3437945791726106,0.09985734664764621,0.052781740370898715,0.0456490727532097,0.029957203994293864,0.020684736091298145,0.008559201141226819,S000003,3,44.207386,-122.258178,10.0,WS1,Oregon,USA,1.288
S000004.1,680,1.1437847533400614,0.13757851381959355,0.4264705882352941,680,1.0170132810966597,1.2032024017461624,0.8725438147166492,1.1884337072662734,0.8721161797081346,1.2375820194860891,1.2280715552986512,1.1068527286685923,0.3514705882352941,0.38529411764705884,0.15588235294117647,0.022058823529411766,0.04852941176470588,0.010294117647058823,0.014705882352941176,0.011764705882352941,S000004,1,44.217143,-122.260991,10.0,WS10,Oregon,USA,0.918
S000004.2,990,1.1507365589794822,0.14440343258198574,0.48383838383838385,990,1.0274674498280096,1.2136155127012218,0.8629586317370987,1.1852793266535602,0.8829478929783422,1.2665433790980793,1.2386183874202188,1.1150587113627277,0.3747474747474748,0.3191919191919192,0.14444444444444443,0.03434343434343434,0.06464646464646465,0.01616161616161616,0.031313131313131314,0.015151515151515152,S000004,2,44.217143,-122.260991,10.0,WS10,Oregon,USA,0.918
S000004.3,1243,1.134984078273019,0.14265659604720418,0.4473049074818986,1243,1.0158717762906284,1.2179430655306882,0.8738464523835681,1.183230329168188,0.8587161536850145,1.2624537137736045,1.238534728693348,1.1034324662346853,0.37731295253419145,0.37811745776347544,0.08205953338696702,0.042638777152051485,0.04585679806918745,0.03378921962992759,0.03298471440064361,0.007240547063555913,S000004,3,44.217143,-122.260991,10.0,WS10,Oregon,USA,0.918
S000005.1,1514,1.1394503902215332,0.14998579882296956,0.4478203434610304,1514,1.012979695297305,1.2127174905991487,0.8688659576221311,1.1966603412831343,0.8539285639884352,1.259782834449517,1.2415361108484912,1.1044966678860946,0.34940554821664466,0.3441215323645971,0.1096433289299868,0.059445178335535004,0.056142668428005284,0.03302509907529723,0.034346103038309116,0.013870541611624834,S000005,1,44.210012,-122.257614,8.0,Lookout Creek,Oregon,USA,1.167
S000005.2,916,1.1360711739720926,0.14030896173423824,0.4519650655021834,916,1.0170690277868515,1.2176661070834436,0.8690324668859345,1.1730247044212836,0.8893259083864772,1.2521657932705805,1.2351580304190874,1.0903638283739514,0.39082969432314413,0.3569868995633188,0.11572052401746726,0.034934497816593885,0.04912663755458515,0.017467248908296942,0.025109170305676855,0.009825327510917031,S000005,2,44.210012,-122.257614,8.0,Lookout Creek,Oregon,USA,1.167
S000005.3,1571,1.1393046007246161,0.1475981092084627,0.45066836409929983,1571,1.0090861164807405,1.2164502603987521,0.8757869924729237,1.1824797758653565,0.8405615801475655,1.2512514377143718,1.2417435267632868,1.1017162321258485,0.3494589433481859,0.3411839592616168,0.12667091024824953,0.04964990451941439,0.06301718650541056,0.031190324633991087,0.02991725015913431,0.008911521323997454,S000005,3,44.210012,-122.257614,8.0,Lookout Creek,Oregon,USA,1.167
S000006.1,1019,1.14175662443072,0.1431994304350291,0.48086359175662413,1019,1.0112430056274326,1.208091053629485,0.8755479417902339,1.171798928792182,0.8815663142745283,1.2718572025043278,1.2362013270809598,1.1221593788725057,0.38665358194308147,0.323846908734053,0.12659470068694798,0.038272816486751716,0.06673209028459273,0.023552502453385672,0.021589793915603533,0.012757605495583905,S000006,1,44.212101,-122.244663,10.0,WS2,Oregon,USA,1.623
S000006.2,2084,1.150944770560319,0.15234715652705147,0.4750479846449136,2084,1.0075060071708546,1.2220913993282188,0.8715593289344005,1.1694589856612287,0.8896042068412402,1.2608407341916574,1.244775955935702,1.0965723173996553,0.32629558541266795,0.30806142034548945,0.16410748560460653,0.05710172744721689,0.07677543186180422,0.03502879078694818,0.022072936660268713,0.01055662188099808,S000006,2,44.212101,-122.244663,10.0,WS2,Oregon,USA,1.623
S000006.3,1804,1.1445146459988118,0.15152198643455295,0.4556541019955654,1804,1.0067355886339873,1.2184608000191621,0.8691056665040441,1.1715049082899258,0.8544317191568864,1.2556798629647725,1.2432535946263272,1.1015656273217258,0.35421286031042126,0.332039911308204,0.1286031042128603,0.0598669623059867,0.06208425720620843,0.026607538802660754,0.02827050997782705,0.008314855875831485,S000006,3,44.212101,-122.244663,10.0,WS2,Oregon,USA,1.623
S000007.1,906,1.1685150368000605,0.14410805896747975,0.434878587196468,906,1.0207516885575136,1.2072729405026226,0.8699876612653018,1.1702507861870606,0.8482750938358011,1.2574845194972444,1.2326833693638017,1.1115898551367243,0.347682119205298,0.336644591611479,0.152317880794702,0.04194260485651214,0.0640176600441501,0.017660044150110375,0.024282560706401765,0.01545253863134658,S000007,1,44.124286,-122.468282,8.0,McKenzie River,Oregon,USA,1.098
S000007.2,774,1.1637902486957739,0.15018848968868048,0.417312661498708,774,1.0031793547631929,1.2073258743073598,0.8602373476422973,1.174020683647247,0.7779002437645374,1.2481936987104398,1.2309726114011226,1.1242380894902075,0.33204134366925064,0.39147286821705424,0.1834625322997416,0.01937984496124031,0.04780361757105943,0.007751937984496124,0.007751937984496124,0.0103359173126615,S000007,2,44.124286,-122.468282,8.0,McKenzie River,Oregon,USA,1.098
S000008.2,2172,1.1833483655961612,0.15543187004778214,0.4940147329650092,2172,1.0351192947057881,1.210337671588418,0.8630338001786252,1.211561624388113,0.8700358798046519,1.2817432483849274,1.2490420022420825,1.1339049200915985,0.2983425414364641,0.27716390423572745,0.15193370165745856,0.07826887661141804,0.10313075506445672,0.04880294659300184,0.0285451197053407,0.013812154696132596,S000008,2,35.091,-106.683,15.1,Rio Grande,New Mexico,USA,5.047
S000008.3,2160,1.1636624151568735,0.15646056363638924,0.49722222222222223,2160,1.0322183141508958,1.2079878440477754,0.862293970147771,1.2063585105491588,0.8716062127380347,1.293389922181002,1.2501984367007324,1.1387533444974391,0.3282407407407407,0.2569444444444444,0.11064814814814815,0.08472222222222223,0.11805555555555555,0.05324074074074074,0.02962962962962963,0.018518518518518517,S000008,3,35.091,-106.683,15.1,Rio Grande,New Mexico,USA,5.047
S000008.4,3251,1.1589853098189813,0.1586342953850683,0.4715472162411566,3251,1.0259092538944512,1.2173638346429818,0.8674430733952935,1.197443623150432,0.8901847393967055,1.2935708773312191,1.2514301752834418,1.1362085896827303,0.29529375576745615,0.287603814211012,0.11627191633343587,0.09104890802829899,0.10919717010150723,0.05721316517994463,0.026760996616425715,0.016610273761919408,S000008,4,35.091,-106.683,15.1,Rio Grande,New Mexico,USA,5.047
S000009.1,2625,1.1518326902986282,0.15384073175281598,0.4697142857142857,2625,1.0267994404837006,1.2150688340250686,0.8709894897384574,1.2014401902629488,0.8844437489114076,1.2867698684274735,1.2490367221237089,1.1292362649050043,0.32457142857142857,0.30133333333333334,0.09371428571428571,0.09142857142857143,0.06857142857142857,0.07352380952380952,0.032,0.014857142857142857,S000009,1,46.254,-119.473454,19.7,Yakima,Washington,USA,2.003
S000009.2,2651,1.151032716500677,0.15224367106985065,0.4651075066012825,2651,1.0230500365823434,1.215777567385797,0.871367875051162,1.196356336244174,0.9026397292723564,1.2829312208473467,1.2491722893459707,1.1255692049893815,0.3304413428894757,0.3085628064881177,0.08751414560543191,0.08826857789513391,0.06978498679743493,0.07468879668049792,0.03017729158807997,0.010562052055827989,S000009,2,46.254,-119.473454,19.7,Yakima,Washington,USA,2.003
S000009.3,2836,1.1501742875968226,0.15586668117597177,0.4657968970380818,2836,1.0240879134885934,1.217202086374551,0.8709222955502078,1.1957446576008404,0.876491590086233,1.28744686305183,1.2507955538551931,1.1304338294968994,0.32581100141043723,0.30571227080394925,0.09485190409026799,0.09167842031029619,0.06629055007052186,0.07228490832157969,0.028913963328631876,0.014456981664315938,S000009,3,46.254,-119.473454,19.7,Yakima,Washington,USA,2.003
S000011.1,1535,1.1601290111347073,0.1485030017293883,0.4527687296416938,1535,1.0376496746042552,1.2020122434557712,0.859737774978665,1.196537801569067,0.9089542217478831,1.2781313089509059,1.246487164501709,1.1372124137702728,0.30618892508143325,0.32964169381107494,0.1257328990228013,0.06188925081433225,0.0781758957654723,0.05863192182410423,0.029315960912052116,0.010423452768729642,S000011,1,35.999387,-84.298959,21.9,East Fork Poplar Creek,Tennessee,USA,1.698
S000011.2,2321,1.1514180296902372,0.15470828489266136,0.45282205945713055,2321,1.031175354198276,1.208447467491685,0.8653471875998193,1.200836361569566,0.8969092796118461,1.2909124546934605,1.25083024635365,1.1284936742845209,0.3132270573028867,0.31107281344248167,0.10211115898319689,0.08315381301163291,0.08789314950452391,0.05644118914261095,0.03015941404566997,0.015941404566996983,S000011,2,35.999387,-84.298959,21.9,East Fork Poplar Creek,Tennessee,USA,1.698
S000011.3,1633,1.1589309568231396,0.1488952320896758,0.4598897734231476,1633,1.035646754091476,1.202533706139029,0.866330474381323,1.2017935275472929,0.88980012981642,1.2863931088728147,1.2471622716243984,1.125933879562685,0.33619105939987753,0.32578077158603796,0.10042865890998164,0.06613594611145132,0.07287201469687692,0.06062461726883037,0.028169014084507043,0.009797917942437232,S000011,3,35.999387,-84.298959,21.9,East Fork Poplar Creek,Tennessee,USA,1.698
S000012.1,1594,1.160568338249986,0.14441521126019324,0.47992471769134254,1594,1.0378540662150864,1.2087594827642087,0.8619353935960086,1.2049721975527243,0.8536276229119066,1.282535673058419,1.2465432793817952,1.131841277428625,0.3337515683814304,0.32685069008782935,0.11480552070263488,0.04328732747804266,0.08030112923462986,0.05520702634880803,0.03638644918444166,0.009410288582183186,S000012,1,36.001921,-84.249506,21.8,East Fork Poplar Creek,Tennessee,USA,1.841
S000012.2,784,1.1657684437563542,0.1406076702754924,0.45663265306122447,784,1.0423276897378857,1.1954302430150376,0.8732967863378607,1.181751843387515,0.8546089331631315,1.2767341067924,1.2422080592134634,1.1129639751862235,0.4005102040816326,0.34183673469387754,0.10841836734693877,0.026785714285714284,0.061224489795918366,0.021683673469387755,0.02423469387755102,0.015306122448979591,S000012,2,36.001921,-84.249506,21.8,East Fork Poplar Creek,Tennessee,USA,1.841
